doc_id,type,gold_label,pred_label,overlap,gold_text,pred_text
0,MATCH,Premise,Premise,1.000,Pregnancy is hard on the body and far riskier than an abortion performed within a few weeks.,Pregnancy is hard on the body and far riskier than an abortion performed within a few weeks.
0,MATCH,Premise,Premise,1.000,It could be about finances but could just be too soon for a woman to go through again.,It could be about finances but could just be too soon for a woman to go through again.
0,MATCH,Premise,Premise,1.000,"that means the majority of those having abortions have income between $ 11,000 and $ 55,000, which is above the Federal Poverty line.","that means the majority of those having abortions have income between $ 11,000 and $ 55,000, which is above the Federal Poverty line."
0,MATCH,Premise,Premise,1.000,"`` 33 % of women who obtain abortions have family incomes under $ 11,000 annually, 11 % of abortions are obtained by women whose household incomes are $ 50,000 or more. ''","`` 33 % of women who obtain abortions have family incomes under $ 11,000 annually, 11 % of abortions are obtained by women whose household incomes are $ 50,000 or more. ''"
0,MATCH,Premise,Premise,1.000,Some stats for example include `` 31 % of women obtaining abortions are in school; 68 % of women who have abortions are employed. '',Some stats for example include `` 31 % of women obtaining abortions are in school; 68 % of women who have abortions are employed. ''
0,MATCH,Claim,Claim,1.000,This appears to be a belief that has led you to conclude that America must be better off,This appears to be a belief that has led you to conclude that America must be better off
0,MATCH,Claim,Claim,1.000,Do you really think abortions are only had by incompetent people who could n't be good parents?,Do you really think abortions are only had by incompetent people who could n't be good parents?
0,MATCH,Claim,Claim,1.000,Modern technology like the internet must be considered,Modern technology like the internet must be considered
0,MATCH,Claim,Claim,1.000,This is to be considered if one is convinced that having a higher population coming from none-abortions results in a strain for resources in the country,This is to be considered if one is convinced that having a higher population coming from none-abortions results in a strain for resources in the country
0,MATCH,Claim,Claim,1.000,Is a more highly populated and economically productive America today going to result in an America tomorrow that can handle over population problems,Is a more highly populated and economically productive America today going to result in an America tomorrow that can handle over population problems
0,MATCH,Claim,Claim,1.000,this discussion is abstract enough to go into some weird places and that it is necessary to have a stopping point,this discussion is abstract enough to go into some weird places and that it is necessary to have a stopping point
0,MATCH,Claim,Claim,1.000,This holds true even if illegal immigration is an overall plus to the countries value,This holds true even if illegal immigration is an overall plus to the countries value
0,MATCH,Claim,Claim,1.000,Its debatable how many women are having abortions due to financial reasons,Its debatable how many women are having abortions due to financial reasons
0,MATCH,Claim,Claim,1.000,Perhaps the immigration of illegals is lowering the value of blue collar work and makes it harder for the borderline impoverished citizens to provide for their children,Perhaps the immigration of illegals is lowering the value of blue collar work and makes it harder for the borderline impoverished citizens to provide for their children
0,MATCH,Claim,Claim,1.000,it would have been preferable to have our abortions alive,It would have been preferable to have our abortions alive
0,MATCH,Claim,Claim,1.000,"One possibility is that there would be wars waged to try to kill them all, perhaps even with other countries with similar problems","One possibility is that there would be wars waged to try to kill them all, perhaps even with other countries with similar problems"
0,MATCH,Claim,Claim,1.000,"These people would have been raised by their incompetent parents to drain down society, increase crime rates, suck up resources, and generally screw things up","These people would have been raised by their incompetent parents to drain down society, increase crime rates, suck up resources, and generally screw things up"
0,MATCH,Premise,Premise,1.000,Something in the ballpark of 45 % of women who have abortions have more than one abortion,Something in the ballpark of 45 % of women who have abortions have more than one abortion
0,MATCH,Claim,Claim,0.947,"Mexicans are the supreme race, native Americans will go extinct through abortion and then out-breeding.","Mexicans are the supreme race, native Americans will go extinct through abortion and then out-breeding"
0,MATCH,Claim,Claim,0.923,you are really misinformed about the type of women who obtain abortions.,You are really misinformed about the type of women who obtain abortions
0,MISS,Premise,O,0.000,There have been 55 million abortions in the US since 1973,
0,MISS,Claim,O,0.000,"Various ways to lower a resource negative population would have to be explored, if not because of this 55 million, then because of the next 55 million",
0,MISS,Premise,O,0.000,"Waging war to purposefully lower population, even with a country facing similar issues, would cost not only resources, but it would also cause political, cultural, and global issues",
0,MISS,Premise,O,0.000,America 's innovation and education rankings would be lower,
0,MISS,Premise,O,0.000,Every middle-class child in the country would receive a lower quality education if there were 55 million more around,
0,MISS,Claim,O,0.000,Its a complicated issue,
0,MISS,Premise,O,0.000,"Without the extra population from abortions, has there been proportionately more immigration to fill labor needs, or are the millions of illegals from Mexico as likely to be so numerous even if there was a higher none-abortion population",
0,MISS,Premise,O,0.000,Does n't immigration of a working class citizen on such a massive scale cause dissonance in a country more so than it does cultural exchange,
0,MISS,Premise,O,0.000,"Or are we talking about a population so huge that race and national identity are insignificant, that there is always going to be a huge amount of hostility between different demographics",
0,MISS,Premise,O,0.000,surely its a significant number,
0,MISS,Premise,O,0.000,how many of these women would n't be having financial troubles if there was n't competition from cheap illegal labor to keep wages lower,
0,MISS,Claim,O,0.000,would having a higher population from none-abortion just add on to the problems of a world going to shit,
0,MISS,Premise,O,0.000,An aborted fetus is likely to have been a less productive person than a never-considered-for-abortion fetus,
0,MISS,Claim,O,0.000,"in an industrial society, its likely that these abortions would still be more productive than not",
0,MISS,Claim,O,0.000,Then there was the debate as to whether or not a larger population with less resources per person is more innovative than a smaller one,
0,MISS,Claim,O,0.000,That may be true.,
0,MISS,Claim,O,0.000,"My thinking was that abortions were mainly required by unfortunate people, who in turn from their difficult circumstances, would 've raised the child to be the same.",
0,MISS,Premise,O,0.000,Can you counter that?,
0,MISS,Premise,O,0.000,"I have a [ source] ( http: //www.guttmacher.org/media/nr/2010/05/04/index.html) that shows that abortions are typically ( and in some years, mostly) had by people without enough wealth to care for there kids.",
0,MISS,Claim,O,0.000,I ca n't confirm but I do recall reading once that a common reason for women to abort is becoming pregnant too soon after having a child,
0,SPURIOUS,O,Claim,0.000,,There have been 55 million abortions in the US since 1973
0,SPURIOUS,O,Claim,0.000,,America 's innovation and education rankings would be lower
0,SPURIOUS,O,Claim,0.000,,Every middle-class child in the country would receive a lower quality education if there were 55 million more around
0,SPURIOUS,O,Claim,0.000,,It's a complicated issue
