doc_id,type,gold_label,pred_label,similarity,gold_text,pred_text
0,MATCH,Explicit,Explicit,1.000,I ca n't confirm but I do recall reading once that a common reason for women to abort is becoming pregnant too soon after having a child.,I ca n't confirm but I do recall reading once that a common reason for women to abort is becoming pregnant too soon after having a child.
0,MATCH,Explicit,Explicit,1.000,Then there is the next question.,Then there is the next question.
0,MATCH,Explicit,Explicit,1.000,68 % of women who have abortions are employed.,68 % of women who have abortions are employed.
0,MATCH,Explicit,Explicit,1.000,"I have a [ source] that shows that abortions are typically ( and in some years, mostly) had by people without enough wealth to care for there kids.","I have a [ source] that shows that abortions are typically ( and in some years, mostly) had by people without enough wealth to care for there kids."
0,MATCH,Explicit,Explicit,1.000,"My thinking was that abortions were mainly required by unfortunate people, who in turn from their difficult circumstances, would 've raised the child to be the same.","My thinking was that abortions were mainly required by unfortunate people, who in turn from their difficult circumstances, would 've raised the child to be the same."
0,MATCH,Explicit,Explicit,1.000,What are you talking about?,What are you talking about?
0,MATCH,Implicit,Implicit,1.000,"These people would have been raised by their incompetent parents to drain down society, increase crime rates, suck up resources, and generally screw things up.","These people would have been raised by their incompetent parents to drain down society, increase crime rates, suck up resources, and generally screw things up."
0,MATCH,Explicit,Explicit,1.000,I also see a few times where I got redundant.,I also see a few times where I got redundant.
0,MATCH,Explicit,Explicit,1.000,I apologize for a few things that I did that could be considered *rude* around here.,I apologize for a few things that I did that could be considered *rude* around here.
0,MATCH,Explicit,Explicit,1.000,I am now confused and lost.,I am now confused and lost.
0,MATCH,Explicit,Explicit,1.000,"Yes, my view was changed, but not into the polar opposite.","Yes, my view was changed, but not into the polar opposite."
0,MATCH,Explicit,Explicit,1.000,Then there was the debate as to whether or not a larger population with less resources per person is more innovative than a smaller one.,Then there was the debate as to whether or not a larger population with less resources per person is more innovative than a smaller one.
0,MATCH,Implicit,Implicit,1.000,"Its debatable how many women are having abortions due to financial reasons, but surely its a significant number, so how many of these women would n't be having financial troubles if there was n't competition from cheap illegal labor to keep wages lower?","Its debatable how many women are having abortions due to financial reasons, but surely its a significant number, so how many of these women would n't be having financial troubles if there was n't competition from cheap illegal labor to keep wages lower?"
0,MATCH,Implicit,Implicit,1.000,Perhaps the immigration of illegals is lowering the value of blue collar work and makes it harder for the borderline impoverished citizens to provide for their children.,Perhaps the immigration of illegals is lowering the value of blue collar work and makes it harder for the borderline impoverished citizens to provide for their children.
0,MATCH,Implicit,Implicit,1.000,"Or are we talking about a population so huge that race and national identity are insignificant, that there is always going to be a huge amount of hostility between different demographics?","Or are we talking about a population so huge that race and national identity are insignificant, that there is always going to be a huge amount of hostility between different demographics?"
0,MATCH,Implicit,Implicit,1.000,America 's innovation and education rankings would be lower.,America 's innovation and education rankings would be lower.
0,MATCH,Explicit,Explicit,1.000,Pregnancy is hard on the body and far riskier than an abortion performed within a few weeks.,Pregnancy is hard on the body and far riskier than an abortion performed within a few weeks.
0,MATCH,Explicit,Explicit,1.000,It could be about finances but could just be too soon for a woman to go through again.,It could be about finances but could just be too soon for a woman to go through again.
0,MATCH,Explicit,Explicit,1.000,"Some stats for example include"" 31 % of women obtaining abortions are in school","Some stats for example include"" 31 % of women obtaining abortions are in school"
0,MATCH,Explicit,Explicit,1.000,Something in the ballpark of 45 % of women who have abortions have more than one abortion.,Something in the ballpark of 45 % of women who have abortions have more than one abortion.
0,MATCH,Explicit,Explicit,1.000,This is to be considered if one is convinced that having a higher population coming from none-abortions results in a strain for resources in the country.,This is to be considered if one is convinced that having a higher population coming from none-abortions results in a strain for resources in the country.
