doc_id,type,gold_label,pred_label,overlap,gold_text,pred_text
0,MATCH,Premise,Premise,1.000,Capital punishment would be murder and would have to be punished with the death penalty itself.,Capital punishment would be murder and would have to be punished with the death penalty itself.
0,MATCH,Premise,Premise,1.000,"If there were capital punishment, this would mean people are allowed to put themselves above others and rule over their lives.","If there were capital punishment, this would mean people are allowed to put themselves above others and rule over their lives."
0,MATCH,Claim,Claim,1.000,Germany should by no means introduce capital punishment.,Germany should by no means introduce capital punishment.
0,MATCH,Premise,Premise,0.818,"What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on","What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on although they have taken or destroyed another life?"
0,MISS,Premise,O,0.000,although they have taken or destroyed another life?,
0,MISS,Premise,O,0.000,"Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one 's own thoughts than to be killed quickly and easily by an injection.",
0,SPURIOUS,O,Claim,0.000,,"Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection."
1,MATCH,Premise,Premise,1.000,"Ditto that for every other domestic food animal, and even animals that we hunt for food","Ditto that for every other domestic food animal, and even animals that we hunt for food"
1,MATCH,Premise,Premise,1.000,"No pain, no awareness, just cessation of life","No pain, no awareness, just cessation of life"
1,MATCH,Premise,Premise,1.000,A bolt to the brain sounds bad,A bolt to the brain sounds bad
1,MATCH,Premise,Premise,1.000,many of my pets are exotic and farm animals,many of my pets are exotic and farm animals
1,MATCH,Premise,Premise,1.000,I work best when I 've had more to eat than a salad,I work best when I've had more to eat than a salad
1,MATCH,Premise,Premise,1.000,Nature is not pretty,Nature is not pretty
1,MATCH,Premise,Premise,1.000,there are plants that emit pheromones to alert other plants of an impending insect-predator 's presence and causes other plants in the area of the same type to activate defenses,there are plants that emit pheromones to alert other plants of an impending insect-predator's presence and causes other plants in the area of the same type to activate defenses
1,MATCH,Claim,Claim,1.000,It is literally impossible for me to live without other things dying.,It is literally impossible for me to live without other things dying.
1,MATCH,Premise,Premise,1.000,"Gory, but painless, as the pain center is instantly destroyed.","Gory, but painless, as the pain center is instantly destroyed."
1,MATCH,Premise,Premise,1.000,"As far as I 'm aware, chickens at my local farm have their brains destroyed at the stem as quickly as possible while their head is chopped off.","As far as I'm aware, chickens at my local farm have their brains destroyed at the stem as quickly as possible while their head is chopped off."
1,MATCH,Premise,Premise,1.000,"Also, again, local farms and humane slaughtering, not factory farming.","Also, again, local farms and humane slaughtering, not factory farming."
1,MATCH,Claim,Claim,1.000,I agree that synthetic meat would be absolutely amazing though!,I agree that synthetic meat would be absolutely amazing though!
1,MATCH,Premise,Premise,1.000,"I used to follow option number 3, but recently started option number 1 in an attempt to line my actions up with my values.","I used to follow option number 3, but recently started option number 1 in an attempt to line my actions up with my values."
1,MATCH,Premise,Premise,0.929,"they 'd die slowly and painfully of some disease that they have no hope of overcoming, or slowly and painfully of starvation after breaking a leg and falling behind their herd","At best they 'd die slowly and painfully of some disease that they have no hope of overcoming, or slowly and painfully of starvation after breaking a leg and falling behind their herd"
1,MATCH,Claim,Claim,0.893,"3. You do n't agree with what is going on, but try to put it to the back of your mind and continue to support it.","3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it."
1,MATCH,Claim,Claim,0.875,"2. You do n't care about animals, so you 're content with paying for them to be abused for your pleasure.","2. You don't care about animals, so you're content with paying for them to be abused for your pleasure."
1,MATCH,Premise,Premise,0.870,"chickens, pigs, deer, and cows would have their throats ripped out by weasels or wolves or whatever other predator.","At the best chickens, pigs, deer, and cows would have their throats ripped out by weasels or wolves or whatever other predator."
1,MISS,Claim,O,0.000,The options are as follows,
1,MISS,Claim,O,0.000,1. You do n't agree with what is going on and stop supporting it.,
1,MISS,Claim,O,0.000,I suspect this way of looking at it is still somewhat simplistic however,
1,MISS,Claim,O,0.000,I buy all my meat from local farms that I know have free-range chickens and cows that are grass-fed and well-treated until they are humanely slaughtered,
1,MISS,Premise,O,0.000,"once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.",
1,MISS,Claim,O,0.000,I personally do n't see any distinction between my pet dog and a chicken.,
1,MISS,Premise,O,0.000,I had to take my cat to be euthanised at the vet,
1,MISS,Claim,O,0.000,I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.,
1,MISS,Claim,O,0.000,Probably not even a bolt to the brain either.,
1,MISS,Claim,O,0.000,I do see a distinction between a pet and livestock,
1,MISS,Premise,O,0.000,we domesticated those pet animals for the purpose of companionship,
1,MISS,Premise,O,0.000,"in the case of the dog, a symbiotic relationship involving feeding them scraps for protection against predators that their scent can pick up easier than our sight, particularly at night",
1,MISS,Premise,O,0.000,bonded with them specifically because their utility functions are greater as companions than as meat,
1,MISS,Claim,O,0.000,Chickens simply are n't.,
1,MISS,Claim,O,0.000,I would n't want to witness it,
1,MISS,Claim,O,0.000,"I would accept that as a humane death ( as humane as we can make death, anyway)",
1,MISS,Premise,O,0.000,it has as little pain as we can deliver.,
1,MISS,Claim,O,0.000,a better way would be a proper Brompton Cocktail,
1,MISS,Premise,O,0.000,"that would taint meat, and so is unfeasible",
1,MISS,Claim,O,0.000,here is the big problem I have,
1,MISS,Claim,O,0.000,I wish it were n't so,
1,MISS,Claim,O,0.000,it is,
1,MISS,Premise,O,0.000,"Carrots get eaten or boiled alive and we have no evidence that suggests, one way or another, if that is causing them suffering",
1,MISS,Premise,O,0.000,their nervous system is sufficiently different from us,
1,MISS,Claim,O,0.000,we would n't know what we were looking for,
1,MISS,Premise,O,0.000,other plants that will actively tense up in response to needle pricks,
1,MISS,Premise,O,0.000,will stop responding when exposed to typical anasthetics,
1,MISS,Claim,O,0.000,"when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.",
1,MISS,Claim,O,0.000,"So, I do n't consider plants to be necessarily more moral.",
1,MISS,Claim,O,0.000,I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for,
1,MISS,Claim,O,0.000,At the best,
1,MISS,Claim,O,0.000,At best,
1,MISS,Claim,O,0.000,we should be working to improve it,
1,MISS,Claim,O,0.000,future animals benefit more by my consumption of meat than they would if I was trying to go vegetarian / vegan,
1,MISS,Claim,O,0.000,I may have a different stance on seeing no difference between companion animals and farm animals,
1,MISS,Premise,O,0.000,we have domesticated some animals,
1,MISS,Claim,O,0.000,does not mean they suffer any differently to their wild cousins.,
1,MISS,Premise,O,0.000,Are you seriously saying you consider slaughtering an animal morally equal to harvesting a crop?,
1,MISS,Premise,O,0.000,"If I were eating veggies, I 'd consume several plants",
1,MISS,Claim,O,0.000,"I consider my 1 chicken/2 days to be morally equivalent to the 8 heads of lettuce / day it would take me to get the same basic caloric intake ( note: I do n't have any real accuracy for the amount per day, just a rough guesstimation) to be about morally equal.",
1,MISS,Claim,O,0.000,A sheep with a shepherd is many times less likely to have its throat ripped out by a wolf and having its last experience on earth be something as gruesome as the beginnings of being eaten.,
1,MISS,Claim,O,0.000,there is nothing past that instant,
1,MISS,Claim,O,0.000,at the very least we are less vicious than other predators in that we wait until the animal is definitely dead before we start eating it,
1,MISS,Claim,O,0.000,I 'm not arguing that death at the hands of humans is better than living on,
1,MISS,Claim,O,0.000,living on is better than just about any death,
1,MISS,Claim,O,0.000,"I 'm arguing that of the potential ways to die, being killed is the best an animal can realistically hope for",
1,SPURIOUS,O,Claim,0.000,,The options are as follows 1. You don't agree with what is going on and stop supporting it.
1,SPURIOUS,O,Premise,0.000,,"I suspect this way of looking at it is still somewhat simplistic however I buy all my meat from local farms that I know have free-range chickens and cows that are grass-fed and well-treated until they are humanely slaughtered once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead."
1,SPURIOUS,O,Premise,0.000,,I personally don't see any distinction between my pet dog and a chicken.
1,SPURIOUS,O,Premise,0.000,,I had to take my cat to be euthanised at the vet I would never consider his throat being sliced by a machine as humane treatment.
